time_s,photo_err,valid_frac,latency_ms
0.001,11.5057,0.3531,37.70
0.288,12.3343,0.3680,36.36
0.681,11.2513,0.3363,38.75
0.906,10.9736,0.2844,43.74
1.182,12.5777,0.2970,37.00
1.421,12.1563,0.3245,40.77
1.684,11.6380,0.3830,36.21
2.015,11.4637,0.3924,35.93
2.343,12.6821,0.3350,37.05
2.622,12.3144,0.3226,45.48
2.864,12.0018,0.2927,37.03
3.164,11.6699,0.3099,37.08
3.524,11.0227,0.3261,37.88
3.628,11.8231,0.3612,37.82
3.907,14.0600,0.3907,36.82
4.244,13.6029,0.3447,37.65
4.501,12.4654,0.2909,38.33
4.775,11.3489,0.3069,37.86
5.083,9.8738,0.3751,41.00
5.374,9.6476,0.4097,36.94
5.645,9.5533,0.3598,35.78
5.843,10.9382,0.3276,37.70
5.967,13.0461,0.3256,37.12
6.141,12.6684,0.3143,37.78
6.262,13.0301,0.2951,39.11
6.401,12.7344,0.2923,36.09
6.599,12.0743,0.3051,37.73
6.692,12.3385,0.3063,36.12
6.835,12.4062,0.3083,35.54
7.031,12.0648,0.3250,36.99
7.139,10.7671,0.3851,37.35
7.323,10.9695,0.3554,38.77
7.439,10.4260,0.3790,36.21
7.617,10.9897,0.4140,45.14
7.850,11.7231,0.3602,35.69
8.157,12.2999,0.3203,36.49
8.450,12.5267,0.3207,37.15
8.657,12.4950,0.3147,37.41
9.059,10.4670,0.3420,37.88
9.255,11.6250,0.3855,37.21
9.373,10.4740,0.3635,36.29
9.621,9.8970,0.3410,36.69
9.878,10.9633,0.3190,36.06
10.174,12.5681,0.2969,35.72
10.484,11.5834,0.3770,36.47
10.792,11.0628,0.4631,37.01
11.080,96.7823,0.2745,41.20
11.373,21.4714,0.2663,36.91
11.659,12.3212,0.2300,36.72
11.959,12.5055,0.2846,36.63
12.259,10.4715,0.3529,37.45
12.548,10.7607,0.3901,36.31
12.764,11.8760,0.4103,41.68
12.880,12.9883,0.3663,37.42
13.037,13.3941,0.3152,45.08
13.297,12.9082,0.2365,37.11
13.491,13.6924,0.1987,36.57
13.623,13.5391,0.1955,39.58
13.797,12.4496,0.2208,37.91
13.908,10.8412,0.2729,36.73
14.059,9.3324,0.3051,37.19
14.258,8.7262,0.3532,40.44
14.369,8.7761,0.3774,38.56
14.527,9.1809,0.4455,39.89
14.649,9.0579,0.4447,36.96
14.789,8.2998,0.3612,36.46
14.965,8.5295,0.3546,42.15
15.088,9.6383,0.3248,36.63
