time_s,photo_err,valid_frac,latency_ms
0.001,10.5514,0.3396,146.69
0.203,10.5309,0.3439,100.92
0.537,11.1076,0.3378,162.85
0.815,11.7951,0.2798,140.14
1.058,10.1827,0.2829,101.18
1.468,10.7037,0.2813,139.19
1.597,10.6015,0.3089,97.76
1.881,10.1727,0.3684,102.09
2.237,10.8311,0.3442,149.88
2.503,11.9730,0.3243,156.13
2.748,11.8947,0.2971,97.44
3.122,11.6290,0.2959,136.71
3.314,11.4234,0.3123,123.79
3.629,11.1804,0.3336,101.46
3.775,11.6732,0.3435,101.39
4.065,12.4876,0.3427,100.31
4.431,13.1467,0.3226,140.58
4.706,12.0454,0.2873,102.49
4.946,10.8646,0.3016,100.37
5.252,9.5648,0.3562,91.76
5.553,9.6392,0.3581,91.67
5.868,10.1346,0.3238,112.37
6.048,10.5991,0.3160,141.26
6.194,12.4491,0.3073,108.96
6.380,11.8781,0.2943,139.64
6.531,11.7967,0.2797,115.58
6.729,11.1633,0.2783,157.01
6.868,10.9322,0.2924,103.99
7.077,10.8812,0.2917,168.52
7.225,10.8636,0.3079,115.95
7.408,10.7559,0.3243,144.17
7.566,10.5192,0.3460,109.27
7.764,10.7335,0.3549,163.57
7.901,10.8003,0.3500,101.21
8.093,11.0639,0.3449,160.41
8.236,11.3210,0.3367,110.35
8.416,10.7007,0.3032,143.38
8.639,10.9722,0.2944,98.03
8.858,10.8329,0.3020,161.52
9.247,10.0173,0.3459,115.59
9.480,10.7343,0.3495,179.30
9.631,10.6221,0.3370,110.16
9.856,9.7280,0.3444,159.25
10.087,10.2781,0.3040,106.52
10.405,10.5931,0.2901,102.71
10.694,10.4807,0.3446,102.82
10.960,10.0015,0.3432,102.61
11.295,104.0660,0.1247,107.17
11.600,16.0544,0.1761,115.04
11.896,10.2321,0.2358,104.99
12.138,10.2334,0.2899,110.93
12.454,9.6252,0.3553,98.62
12.776,10.7833,0.3090,118.25
12.968,12.0089,0.1842,159.32
13.120,11.8245,0.2998,113.60
13.327,12.0307,0.3057,172.20
13.502,9.6459,0.2287,112.98
13.711,10.1412,0.1866,157.22
13.864,10.4080,0.1824,114.91
14.025,10.3170,0.2213,121.28
14.192,9.7079,0.2541,125.70
14.406,8.6218,0.3390,163.90
14.555,8.5723,0.3605,113.42
14.770,8.7468,0.3738,178.71
14.925,8.9527,0.3665,117.61
15.122,8.2246,0.3470,166.98
15.271,7.8050,0.3341,115.94
15.453,8.1401,0.3064,149.76
15.608,9.0036,0.2997,117.54
15.800,12.6844,0.3005,155.99
15.978,10.2955,0.2960,112.35
16.180,9.9788,0.2943,162.68
16.335,9.7575,0.2903,106.24
16.527,9.7093,0.2946,153.64
16.675,9.6548,0.3211,112.04
16.859,9.4324,0.3429,143.39
17.004,8.8708,0.3871,110.11
17.193,8.7973,0.4132,154.03
17.337,8.8702,0.4116,114.41
17.533,9.3177,0.3986,162.79
17.686,9.1575,0.3606,111.53
17.892,77.5279,0.1920,174.52
18.119,62.7573,0.0434,171.27
18.284,14.7493,0.2586,115.92
18.433,11.0318,0.2470,113.19
18.625,10.4510,0.2150,144.14
18.781,10.6420,0.2025,119.80
18.979,11.0359,0.2252,130.50
19.135,11.1666,0.2942,118.97
19.339,11.0891,0.3442,152.85
19.498,9.7034,0.3726,120.81
19.685,9.6587,0.3751,153.87
19.839,9.3436,0.3705,116.58
20.035,9.1684,0.3663,161.77
20.204,9.1244,0.3649,112.90
20.394,9.8064,0.3423,156.83
20.545,13.3189,0.2979,100.11
20.757,11.8966,0.2897,157.05
20.889,11.0363,0.2310,101.69
21.082,11.8451,0.2212,134.88
21.308,12.4810,0.2666,109.14
21.548,10.9294,0.3337,140.62
21.691,10.2063,0.3713,109.42
21.991,9.3518,0.3562,105.39
22.308,11.0607,0.3242,120.36
22.510,10.9526,0.3103,160.86
22.759,13.1933,0.2498,93.15
23.049,12.1659,0.2745,109.27
23.268,11.6987,0.2850,103.35
23.598,11.1306,0.3181,97.59
23.904,11.4978,0.3366,108.81
24.239,11.2434,0.3483,116.85
24.515,10.9240,0.3580,120.84
24.749,11.8145,0.3526,100.80
25.103,12.2176,0.3523,123.81
25.385,11.4805,0.3453,111.72
