time_s,photo_err,valid_frac,latency_ms
0.000,nan,0.0000,8.71
0.215,nan,0.0000,7.87
0.519,nan,0.0000,8.02
0.820,nan,0.0000,8.19
1.115,nan,0.0000,8.36
1.405,nan,0.0000,7.53
1.624,nan,0.0000,12.46
1.918,nan,0.0000,10.30
2.205,nan,0.0000,8.12
2.527,nan,0.0000,15.82
2.797,nan,0.0000,9.85
3.095,nan,0.0000,9.00
3.332,nan,0.0000,9.01
3.677,nan,0.0000,10.12
3.818,nan,0.0000,8.05
4.110,nan,0.0000,9.17
4.402,nan,0.0000,7.97
4.700,nan,0.0000,7.75
4.996,nan,0.0000,7.61
5.298,nan,0.0000,7.91
5.587,nan,0.0000,9.95
5.874,nan,0.0000,8.10
6.029,nan,0.0000,10.39
6.171,nan,0.0000,8.32
6.326,nan,0.0000,9.59
6.477,nan,0.0000,9.16
6.626,nan,0.0000,8.18
6.767,nan,0.0000,8.71
6.918,nan,0.0000,11.49
7.063,nan,0.0000,7.53
7.209,nan,0.0000,9.58
7.362,nan,0.0000,7.67
7.498,nan,0.0000,7.71
7.645,nan,0.0000,9.51
7.795,nan,0.0000,9.69
8.090,nan,0.0000,9.06
8.381,nan,0.0000,8.00
8.677,nan,0.0000,7.24
8.840,nan,0.0000,9.33
9.281,nan,0.0000,9.37
9.439,nan,0.0000,8.63
9.605,nan,0.0000,10.11
9.825,nan,0.0000,9.42
10.109,nan,0.0000,7.38
10.415,nan,0.0000,9.03
10.703,nan,0.0000,7.84
11.008,nan,0.0000,9.99
11.313,nan,0.0000,13.64
11.604,nan,0.0000,9.21
11.897,nan,0.0000,8.10
12.180,nan,0.0000,7.83
12.495,nan,0.0000,8.18
12.778,nan,0.0000,8.25
12.933,nan,0.0000,8.64
13.076,nan,0.0000,9.44
13.226,nan,0.0000,9.03
13.523,nan,0.0000,8.30
13.669,nan,0.0000,9.52
13.826,nan,0.0000,7.59
13.984,nan,0.0000,7.72
14.128,nan,0.0000,7.77
14.289,nan,0.0000,8.78
14.419,nan,0.0000,7.98
14.567,nan,0.0000,8.44
14.719,nan,0.0000,8.74
14.864,nan,0.0000,8.75
15.003,nan,0.0000,8.15
15.164,nan,0.0000,9.39
15.298,nan,0.0000,8.10
15.607,nan,0.0000,10.22
15.891,nan,0.0000,8.30
16.039,nan,0.0000,7.37
16.185,nan,0.0000,8.02
16.332,nan,0.0000,8.70
16.479,nan,0.0000,8.37
16.626,nan,0.0000,8.94
16.769,nan,0.0000,8.49
16.923,nan,0.0000,10.22
17.057,nan,0.0000,8.08
17.209,nan,0.0000,9.29
17.348,nan,0.0000,8.69
17.529,nan,0.0000,16.54
17.672,nan,0.0000,18.96
17.841,nan,0.0000,8.71
17.964,nan,0.0000,7.40
18.124,nan,0.0000,8.60
18.279,nan,0.0000,9.09
18.422,nan,0.0000,8.00
18.573,nan,0.0000,8.52
18.712,nan,0.0000,8.70
18.863,nan,0.0000,8.17
19.013,nan,0.0000,8.65
19.298,nan,0.0000,9.41
19.453,nan,0.0000,8.63
19.611,nan,0.0000,9.15
19.912,nan,0.0000,9.91
20.204,nan,0.0000,7.85
20.515,nan,0.0000,11.12
20.807,nan,0.0000,10.68
21.083,nan,0.0000,8.87
21.367,nan,0.0000,9.33
21.536,nan,0.0000,9.07
21.700,nan,0.0000,10.27
21.987,nan,0.0000,8.41
22.276,nan,0.0000,8.16
22.435,nan,0.0000,8.67
22.834,nan,0.0000,9.45
23.026,nan,0.0000,9.54
23.322,nan,0.0000,8.47
23.621,nan,0.0000,9.68
23.905,nan,0.0000,8.41
24.205,nan,0.0000,9.74
24.494,nan,0.0000,9.23
24.784,nan,0.0000,7.88
25.091,nan,0.0000,11.33
25.371,nan,0.0000,9.12
25.520,nan,0.0000,8.77
25.672,nan,0.0000,9.69
25.826,nan,0.0000,9.54
25.970,nan,0.0000,9.60
26.112,nan,0.0000,8.76
26.265,nan,0.0000,9.19
26.409,nan,0.0000,9.33
26.570,nan,0.0000,10.36
26.709,nan,0.0000,9.82
27.009,nan,0.0000,8.29
27.307,nan,0.0000,8.77
27.448,nan,0.0000,8.20
27.610,nan,0.0000,10.75
27.757,nan,0.0000,9.00
27.922,nan,0.0000,8.58
28.101,nan,0.0000,8.82
28.393,nan,0.0000,8.52
28.680,nan,0.0000,8.46
28.978,nan,0.0000,11.00
29.127,nan,0.0000,9.12
29.279,nan,0.0000,9.65
29.428,nan,0.0000,9.56
29.577,nan,0.0000,9.44
29.719,nan,0.0000,7.48
29.875,nan,0.0000,8.92
30.046,nan,0.0000,9.74
30.182,nan,0.0000,10.71
30.338,nan,0.0000,9.78
30.499,nan,0.0000,8.75
30.802,nan,0.0000,9.53
31.079,nan,0.0000,7.90
31.323,nan,0.0000,11.12
31.620,nan,0.0000,9.45
31.827,nan,0.0000,8.99
32.129,nan,0.0000,9.22
32.420,nan,0.0000,8.54
32.714,nan,0.0000,9.67
33.010,nan,0.0000,9.90
33.297,nan,0.0000,8.80
33.604,nan,0.0000,8.64
33.890,nan,0.0000,9.15
34.186,nan,0.0000,8.37
34.431,nan,0.0000,8.26
34.716,nan,0.0000,9.62
35.025,nan,0.0000,10.66
35.308,nan,0.0000,9.05
35.621,nan,0.0000,9.19
35.831,nan,0.0000,11.22
36.142,nan,0.0000,9.50
36.425,nan,0.0000,8.51
36.720,nan,0.0000,9.37
37.035,nan,0.0000,9.13
37.310,nan,0.0000,9.87
37.617,nan,0.0000,9.96
37.906,nan,0.0000,9.61
38.214,nan,0.0000,11.08
38.504,nan,0.0000,10.25
38.730,nan,0.0000,10.96
39.013,nan,0.0000,10.57
39.304,nan,0.0000,8.97
39.548,nan,0.0000,10.19
39.901,nan,0.0000,10.06
40.196,nan,0.0000,11.30
40.481,nan,0.0000,8.60
40.644,nan,0.0000,10.52
40.787,nan,0.0000,9.73
40.931,nan,0.0000,10.52
41.233,nan,0.0000,8.23
41.388,nan,0.0000,11.11
41.537,nan,0.0000,10.11
41.695,nan,0.0000,9.47
41.838,nan,0.0000,9.81
42.000,nan,0.0000,11.07
42.235,nan,0.0000,9.12
42.545,nan,0.0000,10.15
42.835,nan,0.0000,11.56
43.118,nan,0.0000,9.09
43.465,nan,0.0000,9.35
43.607,nan,0.0000,9.14
43.914,nan,0.0000,11.51
44.205,nan,0.0000,9.46
44.491,nan,0.0000,9.28
44.790,nan,0.0000,9.49
45.081,nan,0.0000,10.61
45.226,nan,0.0000,9.96
45.375,nan,0.0000,10.07
45.525,nan,0.0000,10.37
45.664,nan,0.0000,8.53
45.816,nan,0.0000,8.96
45.967,nan,0.0000,9.54
46.116,nan,0.0000,9.42
46.274,nan,0.0000,10.89
46.422,nan,0.0000,11.16
46.714,nan,0.0000,9.88
46.867,nan,0.0000,10.32
47.009,nan,0.0000,9.14
47.303,nan,0.0000,9.11
47.597,nan,0.0000,10.06
47.895,nan,0.0000,10.87
48.040,nan,0.0000,9.74
48.185,nan,0.0000,9.51
48.335,nan,0.0000,8.91
48.478,nan,0.0000,10.11
48.625,nan,0.0000,10.69
48.780,nan,0.0000,10.32
48.923,nan,0.0000,9.68
49.066,nan,0.0000,9.19
49.221,nan,0.0000,10.38
49.377,nan,0.0000,10.06
49.519,nan,0.0000,10.27
49.661,nan,0.0000,9.23
49.810,nan,0.0000,9.95
49.961,nan,0.0000,9.95
50.108,nan,0.0000,9.77
50.263,nan,0.0000,9.78
50.412,nan,0.0000,10.18
50.552,nan,0.0000,11.02
50.711,nan,0.0000,8.87
51.006,nan,0.0000,10.89
51.298,nan,0.0000,9.37
51.593,nan,0.0000,11.17
51.915,nan,0.0000,10.69
52.206,nan,0.0000,10.88
52.504,nan,0.0000,8.75
52.799,nan,0.0000,10.86
53.111,nan,0.0000,10.01
53.331,nan,0.0000,9.14
53.626,nan,0.0000,10.36
53.914,nan,0.0000,10.60
54.217,nan,0.0000,10.48
54.507,nan,0.0000,9.40
54.734,nan,0.0000,10.15
55.022,nan,0.0000,9.29
55.320,nan,0.0000,9.38
55.618,nan,0.0000,10.56
55.917,nan,0.0000,11.79
56.137,nan,0.0000,9.15
56.434,nan,0.0000,9.63
56.719,nan,0.0000,9.27
57.009,nan,0.0000,9.89
57.395,nan,0.0000,9.55
57.702,nan,0.0000,8.97
58.001,nan,0.0000,10.07
58.288,nan,0.0000,9.54
58.596,nan,0.0000,9.71
58.894,nan,0.0000,9.74
59.192,nan,0.0000,9.13
59.488,nan,0.0000,10.77
59.775,nan,0.0000,9.06
59.932,nan,0.0000,10.20
60.077,nan,0.0000,9.46
60.237,nan,0.0000,9.43
60.372,nan,0.0000,10.54
60.535,nan,0.0000,11.00
60.678,nan,0.0000,9.05
60.821,nan,0.0000,9.08
60.966,nan,0.0000,9.64
61.112,nan,0.0000,9.11
61.271,nan,0.0000,9.81
61.414,nan,0.0000,9.65
61.564,nan,0.0000,9.11
61.717,nan,0.0000,10.88
61.859,nan,0.0000,10.56
62.017,nan,0.0000,9.80
62.305,nan,0.0000,10.79
62.608,nan,0.0000,8.42
62.921,nan,0.0000,9.37
63.070,nan,0.0000,9.54
63.212,nan,0.0000,9.11
63.512,nan,0.0000,8.78
63.811,nan,0.0000,8.96
64.099,nan,0.0000,8.66
64.398,nan,0.0000,9.16
64.698,nan,0.0000,8.69
65.003,nan,0.0000,8.45
65.306,nan,0.0000,10.36
65.608,nan,0.0000,10.27
65.831,nan,0.0000,10.63
66.130,nan,0.0000,13.26
66.423,nan,0.0000,10.32
66.709,nan,0.0000,10.23
67.116,nan,0.0000,9.64
67.253,nan,0.0000,10.49
67.406,nan,0.0000,11.34
67.708,nan,0.0000,9.73
67.996,nan,0.0000,9.65
68.143,nan,0.0000,10.12
68.296,nan,0.0000,9.39
68.585,nan,0.0000,9.09
68.883,nan,0.0000,10.26
69.180,nan,0.0000,8.64
69.334,nan,0.0000,8.79
69.511,nan,0.0000,9.42
69.812,nan,0.0000,9.27
70.107,nan,0.0000,10.16
70.410,nan,0.0000,9.32
70.701,nan,0.0000,8.16
71.008,nan,0.0000,9.60
71.393,nan,0.0000,9.70
71.695,nan,0.0000,9.98
71.993,nan,0.0000,10.56
72.297,nan,0.0000,9.97
72.594,nan,0.0000,8.80
72.917,nan,0.0000,9.06
73.180,nan,0.0000,8.66
73.484,nan,0.0000,10.86
73.653,nan,0.0000,9.12
73.819,nan,0.0000,9.57
74.150,nan,0.0000,9.91
74.431,nan,0.0000,9.89
74.573,nan,0.0000,8.41
74.720,nan,0.0000,8.64
74.916,nan,0.0000,10.60
75.201,nan,0.0000,9.85
75.498,nan,0.0000,9.21
75.799,nan,0.0000,8.25
76.111,nan,0.0000,8.86
76.389,nan,0.0000,9.42
76.692,nan,0.0000,10.32
76.836,nan,0.0000,9.61
76.980,nan,0.0000,8.96
77.123,nan,0.0000,10.66
77.268,nan,0.0000,11.22
77.424,nan,0.0000,10.17
77.570,nan,0.0000,11.45
77.708,nan,0.0000,8.91
77.861,nan,0.0000,9.01
78.017,nan,0.0000,9.88
78.153,nan,0.0000,9.53
78.306,nan,0.0000,9.78
78.493,nan,0.0000,8.76
78.599,nan,0.0000,10.22
78.742,nan,0.0000,8.65
78.898,nan,0.0000,8.97
79.046,nan,0.0000,10.28
79.183,nan,0.0000,8.34
79.487,nan,0.0000,9.22
79.869,nan,0.0000,11.34
79.966,nan,0.0000,8.79
80.078,nan,0.0000,10.56
80.222,nan,0.0000,9.83
80.372,nan,0.0000,8.90
80.533,nan,0.0000,10.61
80.721,nan,0.0000,11.78
80.838,nan,0.0000,9.30
80.966,nan,0.0000,10.22
81.123,nan,0.0000,8.82
81.276,nan,0.0000,9.40
81.436,nan,0.0000,10.83
81.565,nan,0.0000,10.54
81.717,nan,0.0000,10.32
81.880,nan,0.0000,10.57
82.025,nan,0.0000,10.97
82.169,nan,0.0000,10.70
82.324,nan,0.0000,10.81
82.477,nan,0.0000,9.00
82.626,nan,0.0000,9.52
82.769,nan,0.0000,9.23
82.919,nan,0.0000,11.34
83.213,nan,0.0000,9.46
83.521,nan,0.0000,10.87
83.817,nan,0.0000,9.33
84.118,nan,0.0000,10.61
84.414,nan,0.0000,10.10
84.709,nan,0.0000,11.32
84.920,nan,0.0000,9.42
85.211,nan,0.0000,10.36
85.502,nan,0.0000,9.35
85.792,nan,0.0000,8.98
86.092,nan,0.0000,9.41
86.392,nan,0.0000,11.17
86.543,nan,0.0000,10.18
86.676,nan,0.0000,9.93
86.831,nan,0.0000,11.15
86.968,nan,0.0000,9.49
87.127,nan,0.0000,10.00
87.260,nan,0.0000,9.75
87.414,nan,0.0000,11.08
87.554,nan,0.0000,9.86
87.702,nan,0.0000,11.01
87.999,nan,0.0000,10.43
88.289,nan,0.0000,9.81
88.634,nan,0.0000,9.48
88.873,nan,0.0000,9.03
89.046,nan,0.0000,9.25
89.183,nan,0.0000,9.23
89.335,nan,0.0000,9.51
89.480,nan,0.0000,8.61
89.616,nan,0.0000,9.70
89.787,nan,0.0000,8.82
