time_s,photo_err,valid_frac,latency_ms
0.001,12.8023,0.1877,7.78
0.190,10.6778,0.2049,7.20
0.513,11.2557,0.1975,8.33
0.827,12.3237,0.1754,7.53
1.126,10.7758,0.1491,8.37
1.424,16.6325,0.1520,8.62
1.637,18.1515,0.1704,24.82
1.881,13.2880,0.2149,8.30
2.207,11.4181,0.2184,7.66
2.527,12.5955,0.1804,9.19
2.812,12.3350,0.1570,7.68
3.057,12.5675,0.1581,8.75
3.350,12.0183,0.1697,8.56
3.640,10.5073,0.1940,7.33
3.814,11.0473,0.2016,14.59
4.083,12.9389,0.2108,8.68
4.380,13.3120,0.1765,7.82
4.673,13.4400,0.1479,7.59
4.964,12.7974,0.1562,7.01
5.256,10.8341,0.1990,6.93
5.555,9.7286,0.2177,8.42
5.847,9.8893,0.1944,8.57
5.994,11.0982,0.1856,9.27
6.182,13.0634,0.1653,7.13
6.291,12.8374,0.1593,7.37
6.485,13.7499,0.1464,7.10
6.605,14.2909,0.1447,8.45
6.787,13.4561,0.1507,8.70
6.899,13.7808,0.1543,7.16
7.029,12.3648,0.1665,7.81
7.222,11.9876,0.1741,8.18
7.330,11.8277,0.1912,9.40
7.509,11.7761,0.2044,8.74
7.624,11.9014,0.2108,8.50
7.763,11.6991,0.2100,9.25
8.055,12.8562,0.1869,7.69
8.357,13.5603,0.1658,7.87
8.644,16.1205,0.1582,7.91
8.803,15.1945,0.1620,9.23
9.252,9.4759,0.2059,8.19
9.458,9.6243,0.2128,8.54
9.570,10.0731,0.2136,7.64
9.795,9.7311,0.1940,7.32
10.083,10.9347,0.1611,9.04
10.373,13.7302,0.1536,7.02
10.667,11.5955,0.1961,7.53
10.978,9.5816,0.2422,9.00
11.288,114.1238,0.1207,14.69
11.575,13.9328,0.1381,8.34
11.864,11.1646,0.1156,7.58
12.153,12.3812,0.1529,8.36
12.451,8.9792,0.2144,8.05
12.753,9.7510,0.2336,9.03
12.967,10.7309,0.2191,9.62
13.067,11.9071,0.1906,8.59
13.244,12.3026,0.1709,8.63
13.488,17.6496,0.1151,7.68
13.641,21.1561,0.0924,8.29
13.805,19.3680,0.0893,8.59
13.944,12.5681,0.1062,8.27
14.094,10.6595,0.1266,8.15
