time_s,photo_err,valid_frac,latency_ms
0.001,10.4114,0.2347,54.86
0.160,11.0738,0.2514,44.45
0.509,11.9753,0.2422,40.32
0.827,11.4514,0.2177,41.84
1.119,10.0992,0.1886,37.07
1.353,10.4866,0.1920,37.13
1.619,10.4127,0.2130,36.84
1.858,10.0764,0.2657,43.55
2.210,10.7016,0.2683,47.17
2.494,12.6284,0.2264,41.16
2.738,11.7478,0.1976,43.15
3.086,11.3846,0.1997,44.41
3.300,11.0823,0.2121,76.79
3.624,10.2691,0.2406,40.71
3.765,11.0757,0.2494,38.45
4.051,12.4666,0.2579,43.89
4.408,12.2675,0.2190,40.13
4.664,11.4369,0.1873,39.46
4.942,11.2869,0.1965,38.11
5.229,9.4440,0.2442,40.00
5.523,9.3473,0.2649,45.87
5.815,9.5736,0.2388,41.00
5.973,10.4669,0.2297,41.07
6.171,12.4871,0.2091,42.89
6.284,12.1635,0.2020,45.21
6.474,12.2854,0.1880,46.54
6.582,11.7231,0.1866,44.33
6.714,11.6500,0.1905,42.13
6.917,10.6425,0.1948,46.72
7.017,10.6503,0.2078,39.07
7.155,10.3297,0.2168,42.56
7.349,9.6856,0.2372,37.57
7.448,10.3171,0.2503,44.26
7.604,10.7402,0.2590,37.90
7.783,10.6656,0.2564,44.30
8.030,12.0569,0.2305,40.28
8.329,10.4697,0.2073,41.73
8.620,10.0509,0.2014,42.19
8.840,9.8944,0.2047,49.65
9.225,9.7180,0.2518,39.28
9.446,10.0782,0.2593,55.47
9.563,10.5274,0.2606,40.42
9.808,9.0601,0.2382,50.24
10.060,10.1285,0.2028,47.09
10.348,10.8155,0.1962,41.01
10.652,10.9435,0.2412,40.49
10.955,9.8281,0.2946,44.16
11.260,79.9618,0.1565,43.64
11.551,20.4521,0.1765,46.54
11.835,10.3853,0.1515,43.73
12.123,10.9682,0.1942,42.51
12.433,9.3142,0.2636,40.68
12.725,9.2948,0.2846,41.60
12.867,10.4355,0.2736,38.95
13.084,11.3477,0.2357,58.37
13.182,12.7288,0.2135,39.70
13.474,10.6273,0.1522,44.14
13.613,10.1895,0.1265,42.63
13.783,10.5479,0.1231,43.50
13.923,10.8415,0.1420,41.32
14.067,9.8193,0.1637,43.53
14.217,8.9018,0.2235,40.11
14.444,8.6355,0.2456,45.60
14.539,8.2616,0.2764,43.80
14.706,8.8764,0.2830,53.58
14.816,8.1974,0.2820,41.26
14.958,7.8815,0.2768,41.34
15.149,7.8812,0.2532,49.03
15.256,8.7449,0.2417,39.35
15.542,12.0814,0.2078,43.59
15.835,9.9305,0.1920,42.19
15.991,9.6166,0.1892,44.91
16.186,9.2681,0.1874,41.89
16.291,9.2713,0.1916,40.48
16.424,9.2338,0.2101,42.02
16.618,9.0788,0.2255,43.54
16.734,8.3577,0.2683,51.75
16.915,7.9003,0.2953,54.29
17.018,8.6776,0.3430,40.34
17.162,9.7638,0.3508,46.52
17.359,10.0293,0.3270,57.43
