time_s,photo_err,valid_frac,latency_ms
0.001,10.4114,0.2347,51.90
0.174,11.0738,0.2514,37.47
0.522,11.9753,0.2422,40.82
0.854,11.4514,0.2177,35.44
1.120,10.0992,0.1886,64.13
1.365,10.4866,0.1920,41.49
1.638,10.4127,0.2130,36.01
1.875,10.0764,0.2657,43.98
2.216,10.7016,0.2683,37.61
2.513,12.6284,0.2264,37.49
2.808,11.7478,0.1976,38.50
3.046,11.3846,0.1997,37.97
3.380,11.0823,0.2121,38.10
3.688,10.2691,0.2406,35.82
3.785,11.0757,0.2494,43.96
4.075,12.4666,0.2579,39.84
4.367,12.2675,0.2190,39.47
4.657,11.4369,0.1873,39.94
4.958,11.2869,0.1965,43.62
5.247,9.4440,0.2442,39.73
5.537,9.3473,0.2649,36.95
5.827,9.5736,0.2388,35.20
6.042,10.4669,0.2297,44.29
6.141,12.4871,0.2091,37.23
6.341,12.1635,0.2020,39.02
6.459,12.2854,0.1880,51.09
6.640,11.7231,0.1866,43.84
6.742,11.6500,0.1905,41.29
6.894,10.6425,0.1948,38.18
7.064,10.6503,0.2078,38.10
7.170,10.3297,0.2168,37.23
7.317,9.6856,0.2372,39.61
7.491,10.3171,0.2503,40.86
7.614,10.7402,0.2590,42.19
7.765,10.6656,0.2564,36.71
8.045,12.0569,0.2305,41.23
8.338,10.4697,0.2073,37.22
8.631,10.0509,0.2014,38.15
8.784,9.8944,0.2047,36.93
9.237,9.7180,0.2518,38.54
9.449,10.0782,0.2593,46.01
9.562,10.5274,0.2606,37.29
9.802,9.0601,0.2382,40.52
10.075,10.1285,0.2028,38.40
10.364,10.8155,0.1962,38.44
10.655,10.9435,0.2412,35.51
11.008,9.8281,0.2946,34.84
11.273,79.9618,0.1565,42.14
11.563,20.4521,0.1765,36.75
11.848,10.3853,0.1515,36.75
12.149,10.9682,0.1942,44.44
12.448,9.3142,0.2636,39.15
12.746,9.2948,0.2846,43.71
12.935,10.4355,0.2736,41.87
13.044,11.3477,0.2357,40.91
13.231,12.7288,0.2135,44.51
13.483,10.6273,0.1522,37.48
13.626,10.1895,0.1265,40.64
13.787,10.5479,0.1231,39.52
13.930,10.8415,0.1420,39.19
14.077,9.8193,0.1637,37.42
14.232,8.9018,0.2235,38.66
14.425,8.6355,0.2456,39.11
14.533,8.2616,0.2764,39.90
14.730,8.8764,0.2830,45.76
14.834,8.1974,0.2820,44.15
14.970,7.8815,0.2768,41.33
15.179,7.8812,0.2532,37.66
15.267,8.7449,0.2417,38.60
15.551,12.0814,0.2078,38.74
15.851,9.9305,0.1920,39.43
16.046,9.6166,0.1892,39.96
16.154,9.2681,0.1874,44.09
16.294,9.2713,0.1916,41.82
16.480,9.2338,0.2101,36.37
16.579,9.0788,0.2255,38.06
16.728,8.3577,0.2683,40.18
16.922,7.9003,0.2953,42.60
17.031,8.6776,0.3430,39.34
17.209,9.7638,0.3508,47.51
17.320,10.0293,0.3270,42.30
17.477,100.2114,0.1184,47.78
17.627,58.2139,0.0211,48.88
17.818,12.6466,0.2052,39.73
17.983,8.7091,0.1518,56.23
18.095,9.3728,0.1373,43.67
18.233,9.8380,0.1336,40.52
18.385,9.8972,0.1474,43.05
18.528,8.9454,0.2007,39.27
18.668,8.4825,0.2274,38.35
18.864,8.2712,0.2562,40.52
18.975,8.3154,0.2598,37.22
19.257,7.7577,0.2620,41.21
19.407,7.1368,0.2652,44.81
19.625,7.3502,0.2676,40.79
19.865,7.6070,0.2838,37.41
20.163,10.7068,0.2587,39.32
20.450,11.5467,0.2029,38.06
20.745,10.4856,0.1539,37.04
21.040,9.9175,0.1518,39.68
21.312,10.0870,0.1814,41.13
21.480,10.0290,0.2276,39.33
21.716,9.2208,0.2691,38.44
21.939,8.7167,0.2830,41.11
22.248,10.4674,0.2480,41.16
22.439,10.5003,0.2335,44.49
22.777,11.7117,0.1898,35.84
23.006,10.9529,0.1853,40.25
23.283,10.9904,0.1935,43.32
23.571,10.7291,0.2100,36.13
23.859,10.7857,0.2261,37.25
24.161,9.9401,0.2418,38.25
24.451,10.4282,0.2672,41.17
24.740,11.4946,0.2894,37.92
25.038,11.8973,0.2814,38.87
25.327,10.7314,0.2467,37.34
25.481,10.5930,0.2335,40.67
25.676,10.2844,0.2138,39.63
25.786,10.6070,0.2093,41.62
25.931,10.7230,0.2114,40.55
26.063,10.5085,0.2246,39.17
26.219,9.9982,0.2477,38.82
26.425,9.7231,0.2607,37.53
26.525,10.4174,0.2686,41.34
26.720,10.5559,0.2637,40.27
26.961,10.2317,0.2328,39.24
27.254,11.3355,0.1968,40.61
27.411,11.5267,0.1853,36.29
27.612,11.4296,0.1873,43.62
27.726,11.0263,0.2041,42.01
27.929,10.3924,0.2180,43.65
28.062,10.0154,0.2419,37.46
28.346,9.7051,0.2514,39.10
28.642,10.1991,0.2379,38.87
28.935,11.3147,0.2320,39.08
29.077,11.3660,0.2351,38.54
29.274,11.8766,0.2459,44.33
29.396,11.2646,0.2504,39.57
29.570,11.0221,0.2538,43.98
29.683,10.9953,0.2523,39.99
29.829,10.7473,0.2415,36.40
30.071,10.3062,0.2348,41.08
30.161,9.9533,0.2217,40.41
30.347,10.6361,0.2177,49.98
30.462,11.3824,0.2202,38.51
30.749,10.3785,0.2473,39.39
31.040,10.2513,0.2774,41.12
31.294,10.1295,0.2751,37.95
31.572,10.0723,0.2549,38.87
31.816,10.3089,0.2420,43.05
32.079,10.5944,0.2403,44.38
32.364,11.2483,0.2590,38.15
32.663,11.5008,0.2593,38.45
32.960,11.6808,0.2272,37.16
33.246,12.1336,0.1981,36.43
33.553,11.7066,0.2063,37.68
33.853,12.0863,0.2436,39.31
34.142,10.9237,0.2741,40.86
34.378,12.2283,0.2657,37.32
34.690,13.0951,0.2379,47.41
34.973,13.0062,0.2167,44.04
35.269,12.2604,0.2226,42.25
35.574,10.4288,0.2519,42.62
35.809,11.0242,0.2656,43.34
36.075,12.7649,0.2671,38.47
36.391,12.9127,0.2428,44.95
36.685,12.8301,0.2153,45.37
36.969,12.9561,0.2018,39.45
37.268,13.3946,0.2015,37.63
37.562,12.8640,0.2165,37.14
37.862,13.0443,0.2432,39.85
38.190,12.7132,0.2684,42.12
38.455,12.2482,0.2788,40.35
38.677,11.5270,0.2733,40.16
38.969,11.8552,0.2639,39.93
39.256,12.2906,0.2498,37.57
39.506,11.4229,0.2442,45.10
39.849,12.5617,0.2274,36.50
40.139,11.8914,0.2290,38.55
40.442,12.0167,0.2466,42.36
40.646,11.6097,0.2534,39.39
40.758,11.0687,0.2655,45.69
40.931,10.9143,0.2644,45.49
41.191,11.9309,0.2618,39.25
41.387,12.8266,0.2553,37.08
41.502,13.6023,0.2477,40.47
41.696,14.9678,0.2346,39.69
41.802,14.3723,0.2281,39.79
41.960,13.4407,0.2156,42.72
42.211,13.7501,0.2056,41.28
42.487,13.8247,0.1927,40.44
42.784,13.2108,0.2013,39.47
43.072,13.1064,0.2353,35.56
43.416,12.4537,0.2558,38.82
43.608,13.1225,0.2578,42.11
43.871,12.7732,0.2595,44.23
44.156,12.7172,0.2684,43.59
44.448,12.3602,0.2660,42.18
44.744,12.5935,0.2501,42.40
45.034,13.2603,0.2373,37.93
45.235,12.9059,0.2370,38.17
45.342,12.5789,0.2380,45.08
45.531,12.8457,0.2362,48.02
45.646,12.7106,0.2312,42.57
45.824,12.8124,0.2298,41.09
45.930,12.7931,0.2285,42.68
46.072,13.3085,0.2293,40.47
46.289,12.9618,0.2328,42.60
46.384,12.8158,0.2373,38.27
46.683,13.3016,0.2411,47.00
46.895,13.2366,0.2425,53.19
46.990,13.2735,0.2398,46.91
47.257,13.2078,0.2410,39.26
47.550,13.4125,0.2424,40.70
47.849,14.4469,0.2441,39.41
47.996,13.6463,0.2533,39.69
48.193,12.4939,0.2612,48.86
48.298,11.9270,0.2658,43.46
48.475,12.5105,0.2679,45.66
48.588,11.9171,0.2706,39.22
48.786,12.2902,0.2693,44.37
48.903,12.5618,0.2637,48.86
49.084,12.6033,0.2561,54.71
49.199,12.7735,0.2505,44.26
49.328,11.6161,0.2426,38.70
49.519,11.3289,0.2381,40.27
49.633,11.4501,0.2354,44.95
49.836,11.6509,0.2381,43.31
49.934,11.7327,0.2477,42.46
50.073,11.4431,0.2542,39.10
50.263,11.7791,0.2703,44.13
50.375,11.6148,0.2699,40.28
50.560,13.0572,0.2649,46.44
50.665,13.4143,0.2528,39.92
50.951,13.7413,0.2082,41.05
51.254,13.2949,0.1871,43.06
51.552,13.6765,0.2033,41.64
51.884,12.9974,0.2296,50.20
52.168,14.8013,0.2379,39.03
52.457,13.7329,0.2311,40.77
52.762,12.8945,0.2296,41.82
53.071,12.5560,0.2472,47.67
53.304,12.6555,0.2733,43.59
53.572,13.4065,0.2915,38.51
53.867,12.9345,0.2532,40.06
54.165,13.8530,0.2123,39.08
54.471,13.0982,0.2084,46.84
54.726,13.2621,0.2278,40.74
