time_s,photo_err,valid_frac,latency_ms
0.001,10.7172,0.0717,9.27
0.285,10.4584,0.0773,8.89
0.501,10.3727,0.0845,8.67
0.808,12.3765,0.0749,9.47
1.111,11.5255,0.0574,9.18
1.398,10.2810,0.0486,8.57
1.691,10.7363,0.0602,9.39
1.909,10.5661,0.0747,9.03
2.204,10.3981,0.0785,8.70
2.489,10.7361,0.0764,8.55
2.784,11.7663,0.0695,9.51
3.076,11.4952,0.0539,8.64
3.377,11.9283,0.0606,9.12
3.614,11.7789,0.0636,9.50
3.967,11.8646,0.0780,9.36
4.117,11.9641,0.0728,10.88
4.399,13.4867,0.0869,8.87
4.695,13.1966,0.0606,9.47
4.988,11.9947,0.0542,8.86
5.285,10.7582,0.0505,9.70
5.580,10.3295,0.0633,9.33
5.871,9.7630,0.0851,8.81
6.155,10.1570,0.0763,9.46
6.314,10.8662,0.0723,9.69
6.457,13.1347,0.0608,10.01
6.604,11.9934,0.0586,9.31
6.764,11.2966,0.0635,9.15
6.903,11.1853,0.0577,8.80
7.053,11.1119,0.0562,9.04
7.205,11.1020,0.0598,11.26
7.352,10.9904,0.0734,9.03
7.490,10.9767,0.0796,9.36
7.641,10.4302,0.0677,9.50
7.785,10.7896,0.0760,8.86
7.926,11.3636,0.0735,9.18
8.081,11.3723,0.0700,8.89
8.367,11.6389,0.0760,8.92
8.672,10.8703,0.0610,9.29
8.965,11.2183,0.0632,9.25
9.115,11.0663,0.0676,9.00
9.563,10.3313,0.0835,9.05
9.719,11.1505,0.0818,8.85
9.882,10.9287,0.0747,10.04
10.113,9.4922,0.0712,9.89
10.401,11.2452,0.0618,9.39
10.701,10.8788,0.0574,10.85
10.985,11.2169,0.0730,9.21
11.292,10.2307,0.0919,10.06
11.599,95.5246,0.0392,13.26
11.886,20.7197,0.0560,8.82
12.181,9.9720,0.0450,9.44
12.470,9.7247,0.0627,9.56
12.769,9.3348,0.0816,9.30
13.068,10.1104,0.0817,9.24
13.219,11.2903,0.0797,9.89
13.362,12.2914,0.0685,9.37
13.513,12.7148,0.0708,9.56
13.809,11.3896,0.0368,9.47
13.950,10.5805,0.0412,9.10
14.116,11.5214,0.0354,8.51
14.279,10.2274,0.0428,9.35
14.411,9.1623,0.0522,9.27
14.563,9.0586,0.0678,10.93
14.704,8.7156,0.0705,9.74
14.858,8.5467,0.0898,8.97
15.002,8.9123,0.0835,9.55
15.148,8.8383,0.0825,9.48
15.295,8.4133,0.0790,9.24
15.445,8.6852,0.0759,10.53
15.588,9.0845,0.0724,9.77
15.881,11.6895,0.0740,8.45
16.174,10.3459,0.0618,9.40
16.328,9.8587,0.0686,9.61
16.463,10.1427,0.0561,10.28
16.613,9.4783,0.0594,11.02
16.754,10.0137,0.0627,8.50
16.904,9.3756,0.0626,9.49
17.047,8.9948,0.0922,8.81
17.199,9.1628,0.0945,9.21
17.340,9.9983,0.0993,8.73
17.487,10.5672,0.0997,8.62
17.638,9.9997,0.1036,9.21
17.804,94.2678,0.0490,14.96
17.948,69.6326,0.0112,16.94
18.118,15.5976,0.0516,9.44
18.252,9.7119,0.0360,9.58
18.407,10.9434,0.0409,9.05
18.555,11.4725,0.0333,8.84
18.711,11.0157,0.0396,9.17
18.849,11.4830,0.0555,9.19
19.000,11.1168,0.0649,9.30
19.148,9.9764,0.0708,9.26
19.298,9.7964,0.0773,9.37
19.590,9.6030,0.0662,11.59
19.730,9.3730,0.0708,9.72
19.905,9.5009,0.0651,10.30
20.196,9.7020,0.0636,9.50
20.494,12.4776,0.0709,9.93
20.784,12.0575,0.0583,10.47
21.072,11.2116,0.0299,8.83
21.377,10.8740,0.0461,10.15
21.644,11.8188,0.0374,9.59
21.810,10.8622,0.0728,9.28
21.985,10.4050,0.0849,9.79
22.271,10.0168,0.0971,10.06
22.569,10.8649,0.0755,10.06
22.715,11.1856,0.0693,9.97
23.109,12.4576,0.0547,9.20
23.310,11.8488,0.0557,9.34
23.606,11.5407,0.0487,9.63
23.903,11.2945,0.0538,9.83
24.193,11.7028,0.0747,9.25
24.482,10.6406,0.0840,9.49
24.778,10.8429,0.0837,11.67
25.074,11.8681,0.0828,9.14
25.371,12.9247,0.0889,10.12
25.659,11.1201,0.0797,10.10
25.807,11.5581,0.0786,11.49
25.961,11.1030,0.0633,9.54
26.099,10.8567,0.0592,9.29
26.250,10.8904,0.0577,9.81
26.395,11.0070,0.0602,9.56
26.540,10.7526,0.0826,10.14
26.691,10.6972,0.0849,11.12
26.846,11.4052,0.0863,10.43
26.992,11.4159,0.0788,9.47
27.305,11.7601,0.0763,14.11
27.587,11.6093,0.0515,9.13
27.739,11.5300,0.0499,9.89
27.892,11.5782,0.0512,9.47
28.035,10.9578,0.0562,9.58
28.209,10.4407,0.0770,9.59
28.394,10.7454,0.0722,10.52
28.674,10.5756,0.0716,9.37
28.979,10.5148,0.0566,9.98
29.263,10.7631,0.0660,9.87
29.413,11.4232,0.0654,10.04
29.556,11.5889,0.0770,9.44
29.709,11.8811,0.0657,9.16
29.858,11.4809,0.0665,9.57
30.006,10.8589,0.0727,9.23
30.164,11.3715,0.0626,9.28
30.320,11.1637,0.0617,10.64
30.461,10.4916,0.0535,9.57
30.629,11.3816,0.0568,10.27
30.786,11.5254,0.0657,10.83
31.075,11.1944,0.0593,9.24
31.372,11.2075,0.0720,9.59
31.607,11.2363,0.0761,9.46
31.901,10.5883,0.0823,9.44
32.115,11.0685,0.0628,10.29
32.405,11.5380,0.0722,11.17
32.705,12.7486,0.0764,10.12
32.991,12.4001,0.0807,9.66
33.282,12.3255,0.0587,9.61
33.581,12.3224,0.0527,9.37
33.885,12.2171,0.0567,9.39
34.180,12.1267,0.0800,9.79
34.474,12.4574,0.0805,11.13
34.706,12.5899,0.0907,9.54
35.002,13.4299,0.0738,9.27
35.302,14.4088,0.0570,10.70
35.599,13.9782,0.0690,10.54
35.893,12.3006,0.0843,10.13
36.116,12.1127,0.0860,10.77
36.407,13.0323,0.0891,10.10
36.707,13.5833,0.0717,10.39
37.005,14.8108,0.0593,10.19
37.294,14.6485,0.0571,9.88
37.600,13.8078,0.0681,10.75
37.890,14.3825,0.0692,10.00
38.190,13.1552,0.0809,11.73
38.505,13.3746,0.0783,9.81
38.789,12.5998,0.0802,10.08
39.003,12.3932,0.0777,9.96
39.300,12.5237,0.0747,10.40
39.591,13.2180,0.0686,10.35
39.823,12.9211,0.0649,10.23
40.177,13.5408,0.0642,10.04
40.477,13.2873,0.0766,10.41
40.781,13.9152,0.0844,11.80
40.929,12.9382,0.0770,11.07
41.063,13.2278,0.0785,10.35
41.208,12.2733,0.0736,9.56
41.518,12.4909,0.0843,9.85
41.670,13.3922,0.0847,11.33
41.819,14.5185,0.0855,10.04
41.973,14.7609,0.0744,10.72
42.123,14.8336,0.0671,10.00
42.281,14.4938,0.0589,12.30
42.517,14.5872,0.0700,10.44
42.819,13.5714,0.0662,9.97
43.110,14.4646,0.0490,10.07
43.412,14.4519,0.0664,11.00
43.766,13.2840,0.0742,12.30
