time_s,photo_err,valid_frac,latency_ms
0.001,10.6871,0.1639,7.61
0.224,10.4373,0.1854,8.20
0.518,12.3717,0.1890,7.40
0.854,11.4470,0.1647,8.55
1.154,10.4027,0.1311,8.62
1.405,10.6606,0.1315,8.07
1.625,10.2829,0.1461,8.26
1.912,9.9131,0.1778,9.31
2.209,10.7030,0.1952,9.50
2.537,11.8606,0.1564,9.34
2.855,11.4671,0.1369,7.63
3.089,11.6041,0.1468,8.56
3.330,11.6702,0.1602,8.12
3.677,11.6766,0.1852,8.67
3.820,11.7292,0.1761,9.65
4.114,13.6190,0.2034,7.69
4.431,13.1542,0.1551,9.68
4.708,11.7857,0.1326,8.09
5.037,10.8056,0.1299,8.23
5.298,10.0970,0.1798,8.27
5.581,9.7483,0.2169,8.59
5.872,9.9706,0.1793,9.01
6.027,10.5041,0.1765,8.28
6.232,12.7155,0.1380,10.56
6.323,11.8108,0.1314,7.96
6.467,11.2900,0.1141,8.08
6.621,10.7349,0.1221,8.53
6.764,10.5538,0.1350,7.67
6.910,10.8040,0.1393,7.70
7.059,10.8044,0.1610,8.48
7.208,10.6061,0.1631,7.42
7.357,10.5017,0.1790,8.95
7.535,10.6056,0.1944,8.78
7.652,11.5313,0.1964,8.27
7.841,11.3364,0.1915,9.12
8.088,11.5848,0.1705,8.61
8.385,10.4320,0.1448,8.85
8.676,11.0016,0.1296,7.96
8.829,10.8989,0.1511,7.52
9.281,10.6521,0.1950,7.78
9.464,11.1096,0.1884,7.63
9.603,10.7555,0.1984,8.13
9.825,9.7714,0.1821,8.36
10.108,10.8017,0.1558,7.55
10.403,11.3790,0.1352,7.32
10.705,10.6400,0.1643,7.71
11.004,10.1725,0.2279,10.27
11.314,96.8247,0.1193,11.51
11.603,22.1705,0.1303,7.93
11.894,10.0658,0.1048,8.03
12.185,9.9921,0.1432,8.38
12.488,9.0806,0.1949,9.35
12.784,10.0909,0.2082,8.14
12.929,11.0290,0.2001,8.00
13.124,12.5046,0.1662,8.84
13.233,12.1668,0.1593,8.73
13.525,10.1657,0.0963,7.66
