time_s,photo_err,valid_frac,latency_ms
0.189,10.1818,0.3675,105.81
0.449,10.0636,0.3769,153.24
0.700,12.9313,0.2391,104.59
1.065,10.1184,0.3179,99.29
1.357,9.7607,0.2950,148.56
1.590,10.6452,0.3032,99.90
1.832,10.1868,0.3395,142.03
2.099,10.0453,0.3774,104.10
2.470,10.2412,0.3767,139.46
2.715,11.4323,0.3596,141.21
2.970,11.3852,0.3195,103.99
3.344,10.9186,0.3163,105.36
3.543,10.7949,0.3333,125.70
3.866,10.2060,0.3587,112.87
4.025,10.7327,0.3402,108.96
4.308,11.6355,0.3621,106.37
4.614,12.7906,0.3592,102.14
4.919,11.3246,0.3232,112.13
5.177,10.4463,0.3205,103.63
5.473,9.2255,0.3924,104.18
5.770,8.6380,0.3386,95.50
6.060,9.2077,0.3261,104.93
6.255,9.9817,0.3482,145.26
6.385,12.1251,0.3225,107.96
6.560,11.3637,0.3189,153.19
6.696,11.0683,0.3124,111.20
6.821,10.9240,0.2986,114.79
6.959,10.5314,0.3109,98.62
7.092,10.5315,0.3143,99.76
7.313,10.4916,0.3405,140.81
7.435,10.3538,0.3582,119.74
7.603,10.1681,0.3561,163.54
7.741,9.8917,0.3627,113.03
7.851,9.7622,0.3667,107.82
8.049,9.8237,0.3184,177.23
8.266,10.7065,0.3396,102.33
8.595,10.8448,0.3280,104.14
8.885,12.4322,0.3026,104.17
9.014,10.3241,0.3322,102.52
9.455,9.2036,0.3621,93.13
9.662,10.6492,0.3966,122.12
9.774,10.5588,0.4104,96.84
10.049,9.2586,0.3315,96.73
10.287,10.2940,0.3245,98.31
10.606,10.5339,0.3269,103.90
10.874,10.4359,0.3527,95.51
11.173,10.1269,0.3341,92.77
11.501,97.5964,0.2981,104.11
11.813,23.6116,0.3032,107.33
12.109,10.2365,0.2569,95.34
12.358,10.3270,0.3049,104.26
12.675,9.4389,0.3871,105.28
13.009,10.4671,0.2909,115.07
13.172,11.5671,0.4300,150.74
13.320,12.0647,0.3529,110.82
13.478,12.0578,0.3323,155.47
13.689,9.9023,0.2500,97.87
13.847,10.4781,0.2060,102.62
14.010,10.7694,0.2002,99.05
14.162,10.5253,0.2349,102.24
14.312,9.6654,0.2721,106.48
14.511,8.3228,0.3683,132.32
14.623,7.9445,0.3659,105.99
14.836,8.6685,0.4160,178.22
14.982,9.0165,0.4166,127.69
15.140,7.4430,0.3529,156.25
15.255,7.6275,0.3381,111.93
15.367,8.1173,0.3486,110.57
15.527,8.6136,0.3345,148.13
15.770,12.1752,0.3258,99.85
16.090,10.5049,0.2942,107.01
16.289,9.8321,0.3230,160.60
16.406,9.6172,0.3087,110.18
16.556,9.5828,0.3151,147.42
16.708,9.2875,0.3484,113.69
16.858,9.0953,0.3507,148.67
17.008,8.5707,0.3976,111.81
17.162,8.4045,0.4238,152.91
17.328,8.3568,0.4217,131.40
17.493,8.6813,0.3866,163.30
17.619,9.0350,0.3224,123.56
17.748,95.1519,0.3242,126.47
17.913,62.4778,0.0814,163.04
18.058,15.6882,0.3288,126.79
18.232,11.0808,0.2563,166.42
18.351,10.6916,0.2296,101.53
18.459,10.8831,0.2179,106.08
18.686,11.0379,0.2429,158.82
18.808,11.0417,0.3261,119.58
18.925,10.7037,0.3708,114.61
19.048,9.3416,0.3970,104.60
19.185,9.3187,0.3883,103.06
19.498,9.6094,0.4297,105.84
19.694,9.0549,0.4032,154.50
19.831,8.7912,0.3826,112.41
20.119,9.2909,0.4670,96.35
20.380,12.7480,0.4166,100.61
20.708,11.4122,0.3205,101.27
20.998,10.4763,0.2470,98.82
21.257,11.2842,0.2519,100.68
21.536,11.7663,0.2898,105.47
21.715,10.4527,0.3455,112.53
21.946,9.6387,0.3619,141.45
22.157,8.2595,0.3686,97.67
22.490,9.9654,0.3136,109.48
22.673,10.1814,0.3183,156.70
22.999,11.9759,0.3009,104.20
23.263,11.5805,0.2976,101.47
23.496,11.2500,0.3283,103.05
23.791,10.4640,0.3302,106.40
24.105,9.7753,0.2885,111.13
24.419,8.9478,0.3269,111.27
24.723,10.0440,0.3780,107.43
25.017,11.7565,0.4317,110.81
25.285,12.3735,0.4214,112.69
25.633,10.9722,0.3950,141.21
25.783,10.9831,0.3820,147.32
25.914,10.6463,0.3505,120.50
26.032,10.7506,0.3440,116.10
26.220,10.6259,0.3533,171.29
26.363,10.8817,0.3568,118.43
26.528,10.3774,0.3825,161.00
26.658,9.4395,0.3526,119.26
26.776,9.6449,0.3581,116.30
26.948,9.4797,0.3422,158.82
27.246,10.2427,0.3581,105.06
27.529,11.0518,0.3265,102.74
27.637,11.4964,0.3055,105.44
27.844,11.7311,0.3039,148.99
27.962,11.2614,0.3215,97.82
28.163,10.3756,0.3588,144.86
28.299,10.1700,0.3690,107.78
28.605,9.6684,0.3764,104.04
28.900,9.7957,0.3870,95.96
29.170,10.6446,0.3783,111.51
29.409,11.0861,0.3696,174.50
29.536,11.4770,0.3924,123.75
