time_s,Hmax,Hs,Hs_zerocross,Tm01,Tm02,Tp,f_peak,n_samples,source
0.0029466,0.5417,0.501,0.3738,2.9739,2.7678,2.069,0.4833,1200,nan
5.0051,0.5654,0.5202,0.3636,2.9625,2.7555,2.069,0.4833,1200,nan
10.008,0.5777,0.5199,0.373,2.9527,2.75,2.1429,0.4667,1200,nan
15.009,0.5548,0.497,0.3732,2.9352,2.7368,2.1429,0.4667,1200,nan
20.004,0.5154,0.472,0.3636,2.9231,2.7248,2.1429,0.4667,1200,nan
25.003,0.5734,0.487,0.4023,2.9903,2.7697,2.069,0.4833,1200,nan
30.003,0.5667,0.5048,0.4027,3.0283,2.8008,2.069,0.4833,1200,nan
35.006,0.5277,0.5181,0.4096,3.0072,2.789,2.069,0.4833,1200,nan
40.004,0.5694,0.5491,0.418,3.0084,2.7859,2.069,0.4833,1200,nan
45.009,0.5727,0.5486,0.4173,2.9823,2.766,2.069,0.4833,1200,nan
50.004,0.5386,0.5291,0.4045,2.941,2.7339,2.069,0.4833,1200,nan
55.004,0.5597,0.5191,0.4103,2.9343,2.7236,2.069,0.4833,1200,nan
60.006,0.5761,0.5144,0.4014,2.981,2.76,2.069,0.4833,1200,nan
65.007,0.559,0.5128,0.3938,3.023,2.7941,2.069,0.4833,1200,nan
70.006,0.5343,0.5103,0.373,3.0402,2.8089,2.069,0.4833,1200,nan
75.002,0.4934,0.4936,0.3672,3.0211,2.7962,2.069,0.4833,1200,nan
80,0.5691,0.4908,0.3853,3.0557,2.8251,2.1429,0.4667,1200,nan
85.006,0.546,0.4565,0.3902,3.0904,2.8605,2.1429,0.4667,1200,nan
90.002,0.5144,0.4175,0.3675,3.1774,2.9365,2.1429,0.4667,1200,nan
95.008,0.5259,0.4098,0.3731,3.2936,3.0297,5.4545,0.1833,1200,nan
100,0.526,0.4233,0.348,3.3826,3.0962,2.069,0.4833,1200,nan
105,0.504,0.4358,0.3517,3.3625,3.0648,2.069,0.4833,1200,nan
110,0.4743,0.4374,0.3468,3.2735,2.9808,2.069,0.4833,1200,nan
115,0.5327,0.4418,0.3408,3.1756,2.9035,2.069,0.4833,1200,nan
121.04,0.5341,0.4113,0.341,3.0972,2.8389,2.2222,0.45,1200,nan
126.04,0.5183,0.3816,0.3624,3.081,2.8439,2.2222,0.45,1200,nan
131.04,0.575,0.3626,0.39,3.1105,2.8808,2.2222,0.45,1200,nan
136.04,0.5785,0.3598,0.4087,3.1529,2.9219,2.2222,0.45,1200,nan
141.04,0.5422,0.3788,0.4038,3.0482,2.842,2.2222,0.45,1200,nan
146.04,0.5497,0.4167,0.3925,2.9392,2.759,2.2222,0.45,1200,nan
151.04,0.7956,0.4475,0.4293,2.8772,2.7146,2.3077,0.4333,1200,nan
156.04,0.7846,0.4719,0.4403,2.8808,2.7386,3.3333,0.3,1200,nan
161.04,0.7518,0.4882,0.4298,2.8024,2.6748,2.069,0.4833,1200,nan
166.04,0.7516,0.502,0.4146,2.7343,2.6157,2.069,0.4833,1200,nan
171.04,0.7829,0.5294,0.4392,2.7501,2.6259,2.069,0.4833,1200,nan
176.04,0.9268,0.5528,0.5426,2.6964,2.5729,2.1429,0.4667,1200,nan
181.04,0.9989,0.5709,0.5452,2.7205,2.5891,2.1429,0.4667,1200,nan
186.04,0.9626,0.6046,0.5422,2.7003,2.5675,2.1429,0.4667,1200,nan
191.04,0.9227,0.6464,0.5452,2.6823,2.5489,2.1429,0.4667,1200,nan
196.05,0.8943,0.6963,0.5423,2.6358,2.5165,2.4,0.4167,1200,nan
201.04,0.9687,0.745,0.5443,2.5767,2.4813,2.4,0.4167,1200,nan
206.04,0.9301,0.7345,0.5354,2.5589,2.4702,2.4,0.4167,1200,nan
211.05,0.9015,0.6983,0.5434,2.5943,2.4988,2.4,0.4167,1200,nan
216.04,0.9723,0.6797,0.5452,2.6346,2.5316,2.4,0.4167,1200,nan
221.04,0.9337,0.6802,0.5464,2.6463,2.5299,2.4,0.4167,1200,nan
226.05,0.9033,0.7074,0.5433,2.6234,2.5091,2.4,0.4167,1200,nan
231.05,0.9831,0.7426,0.5475,2.5744,2.4791,2.4,0.4167,1200,nan
236.04,0.9394,0.7113,0.5377,2.5413,2.452,2.4,0.4167,1200,nan
241.05,0.9657,0.6611,0.5328,2.551,2.4589,2.4,0.4167,1200,nan
246.05,0.9429,0.6103,0.5347,2.5974,2.4852,2.4,0.4167,1200,nan
251.05,0.9854,0.6053,0.5063,2.6046,2.4884,2.4,0.4167,1200,nan
256.05,0.9159,0.6211,0.5034,2.6321,2.5014,2.4,0.4167,1200,nan
261.04,0.8974,0.6358,0.4845,2.6128,2.4931,2.3077,0.4333,1200,nan
266.04,0.9782,0.6296,0.4914,2.5736,2.4786,2.3077,0.4333,1200,nan
271.04,0.988,0.5708,0.4612,2.5689,2.4831,2.4,0.4167,1200,nan
276.05,0.9531,0.4886,0.4548,2.5789,2.4961,2.4,0.4167,1200,nan
281.05,0.9908,0.4231,0.4678,2.6311,2.5386,2.4,0.4167,1200,nan
286.05,0.9598,0.3882,0.431,2.7365,2.6141,2.4,0.4167,1200,nan
291.05,0.466,0.3816,0.3366,2.8427,2.6813,2.4,0.4167,1200,nan
296.05,0.4583,0.3921,0.3345,2.8852,2.704,2.4,0.4167,1200,nan
301.04,0.4577,0.4061,0.332,2.874,2.6912,2.069,0.4833,1200,nan
306.04,0.4619,0.4175,0.3168,2.8753,2.6962,2.069,0.4833,1200,nan
311.04,0.4584,0.4185,0.3197,2.9046,2.7248,2.1429,0.4667,1200,nan
316.04,0.4566,0.4063,0.3423,2.9158,2.7389,2,0.5,1200,nan
321.04,0.5553,0.4129,0.3418,2.9649,2.7716,2.5,0.4,1200,nan
326.04,0.8235,0.4338,0.3779,3.0024,2.7919,2.069,0.4833,1200,nan
331.04,0.4932,0.4487,0.3584,2.9614,2.7562,2.069,0.4833,1200,nan
336.04,0.5348,0.4842,0.3521,2.9499,2.7458,2.069,0.4833,1200,nan
341.05,0.4756,0.4819,0.351,2.8905,2.7062,2.069,0.4833,1200,nan
346.05,0.495,0.4891,0.3468,2.8905,2.7045,2.069,0.4833,1200,nan
351.04,0.5186,0.4838,0.3653,2.8898,2.7003,2.1429,0.4667,1200,nan
356.04,0.4688,0.4567,0.3523,2.8977,2.7042,2.1429,0.4667,1200,nan
361.04,0.5217,0.4578,0.3832,2.9278,2.7223,2.069,0.4833,1200,nan
366.04,0.5334,0.4817,0.405,2.9661,2.7513,2.069,0.4833,1200,nan
371.05,0.5318,0.5116,0.4046,2.9975,2.7769,2.069,0.4833,1200,nan
376.04,0.4953,0.5142,0.4019,2.9796,2.7668,2.069,0.4833,1200,nan
381.04,0.5288,0.5339,0.4085,2.9613,2.751,2.1429,0.4667,1200,nan
386.04,0.5407,0.5307,0.4059,2.9225,2.7186,2.1429,0.4667,1200,nan
391.04,0.4826,0.4921,0.3861,2.9182,2.7151,2.069,0.4833,1200,nan
396.04,0.5197,0.4902,0.3865,2.9352,2.7266,2.069,0.4833,1200,nan
401.05,0.5427,0.4969,0.3965,2.9844,2.7625,2.069,0.4833,1200,nan
406.04,0.5383,0.4995,0.3801,3.0219,2.791,2.069,0.4833,1200,nan
411.04,0.547,0.4986,0.3738,3.0472,2.811,2.069,0.4833,1200,nan
