time_s,Hmax,Hs,Hs_std,n_bad_dropped,n_frames,peak_period,peak_wavelength,peak_wavelength_std,plane_tilt_deg
0,0.9511,0.2655,0.1743,0,30,3.6366,20.654,5.5431,2.7608
5.001,0.8263,0.2102,0.213,1,30,3.5559,19.742,5.8017,2.9504
10.005,0.8263,0.1957,0.21,0,30,3.43,18.37,6.3932,3.829
15.002,1.0272,0.1802,0.2139,1,30,3.4915,19.033,6.8139,5.29
20,1.2442,0.276,0.222,0,30,3.7868,22.389,6.2124,4.5008
25,1.2442,0.2718,0.228,0,30,3.8098,22.661,6.5195,3.7636
30.099,1.0476,0.2709,0.1957,0,30,3.8098,22.661,5.4724,3.8683
35.003,1.0476,0.2925,0.2266,1,30,3.6517,20.82,5.9183,4.349
40.001,0.9676,0.235,0.2394,2,30,3.639,20.675,5.6814,4.349
45.026,0.9676,0.2449,0.206,1,30,3.61,20.35,5.2674,3.4531
50.001,0.9594,0.3079,0.2447,1,30,3.416,18.22,5.3258,4.0878
55.002,0.894,0.3929,0.2306,2,30,3.5483,19.675,5.1869,4.4159
60.001,1.0456,0.4203,0.2585,0,30,3.7309,21.733,5.3243,3.8438
65.002,1.1908,0.4108,0.2637,1,30,3.7834,22.349,5.0043,3.9691
69.998,1.1908,0.3251,0.2734,0,30,3.8626,23.294,3.9854,3.9332
74.998,1.1718,0.3251,0.2505,3,30,3.8722,23.41,4.3038,3.9332
80.065,1.1718,0.2586,0.2564,0,30,3.3633,17.661,4.4511,3.9241
85,1.1718,0.3894,0.245,1,30,3.5301,19.457,4.1181,4.9369
89.998,0.8801,0.3872,0.1767,0,30,3.6081,20.325,3.9576,4.0433
95.046,0.8801,0.2358,0.1974,0,30,3.7395,21.834,3.727,3.8491
100,0.9041,0.2744,0.2144,1,30,3.7395,21.834,3.6274,4.181
105,1.0616,0.2744,0.2358,2,30,3.7395,21.834,3.7512,4.005
110,1.0616,0.2744,0.2358,0,30,3.7395,21.834,3.7512,4.005
115,1.0616,0.2744,0.2358,0,30,3.7395,21.834,3.7512,4.005
121.04,1.0616,0.2744,0.2358,0,30,3.7395,21.834,3.7512,4.005
126.04,1.0616,0.2744,0.2358,0,30,3.7395,21.834,3.7512,4.005
131.04,1.0616,0.2744,0.2358,0,30,3.7395,21.834,3.7512,4.005
136.04,1.0616,0.2744,0.2358,0,30,3.7395,21.834,3.7512,4.005
141.04,1.0616,0.2744,0.2358,0,30,3.7395,21.834,3.7512,4.005
146.04,1.0616,0.2744,0.2358,0,30,3.7395,21.834,3.7512,4.005
151.04,1.0616,0.2744,0.2358,0,30,3.7395,21.834,3.7512,4.005
156.04,1.0616,0.2744,0.2358,0,30,3.7395,21.834,3.7512,4.005
161.04,1.0616,0.2744,0.2358,0,30,3.7395,21.834,3.7512,4.005
166.04,1.0616,0.2744,0.2358,0,30,3.7395,21.834,3.7512,4.005
171.04,1.0616,0.2744,0.2358,0,30,3.7395,21.834,3.7512,4.005
176.04,1.0616,0.2744,0.2358,0,30,3.7395,21.834,3.7512,4.005
181.04,1.0616,0.2744,0.2358,0,30,3.7395,21.834,3.7512,4.005
186.04,1.0616,0.2744,0.2358,0,30,3.7395,21.834,3.7512,4.005
191.04,1.0616,0.2744,0.2358,0,30,3.7395,21.834,3.7512,4.005
196.04,1.0616,0.2744,0.2358,0,30,3.7395,21.834,3.7512,4.005
201.04,1.0616,0.2744,0.2358,0,30,3.7395,21.834,3.7512,4.005
206.04,1.0616,0.2744,0.2358,0,30,3.7395,21.834,3.7512,4.005
211.04,1.0616,0.2744,0.2358,0,30,3.7395,21.834,3.7512,4.005
216.04,1.0616,0.2744,0.2358,0,30,3.7395,21.834,3.7512,4.005
221.04,1.0616,0.2744,0.2358,0,30,3.7395,21.834,3.7512,4.005
226.04,1.0616,0.2744,0.2358,0,30,3.7395,21.834,3.7512,4.005
231.04,1.0616,0.2744,0.2358,0,30,3.7395,21.834,3.7512,4.005
236.04,1.0616,0.2744,0.2358,0,30,3.7395,21.834,3.7512,4.005
241.04,1.0616,0.2744,0.2358,0,30,3.7395,21.834,3.7512,4.005
246.04,1.0616,0.2744,0.2358,0,30,3.7395,21.834,3.7512,4.005
251.05,1.0616,0.2744,0.2358,0,30,3.7395,21.834,3.7512,4.005
256.04,1.0616,0.2744,0.2358,0,30,3.7395,21.834,3.7512,4.005
261.04,1.0616,0.2744,0.2358,0,30,3.7395,21.834,3.7512,4.005
266.04,1.0616,0.2744,0.2358,0,30,3.7395,21.834,3.7512,4.005
271.04,1.0616,0.2744,0.2358,0,30,3.7395,21.834,3.7512,4.005
276.04,1.0616,0.2744,0.2358,0,30,3.7395,21.834,3.7512,4.005
281.04,1.0616,0.2744,0.2358,0,30,3.7395,21.834,3.7512,4.005
286.04,1.0616,0.2744,0.2358,0,30,3.7395,21.834,3.7512,4.005
291.04,1.0616,0.2744,0.2358,0,30,3.7395,21.834,3.7512,4.005
296.04,1.0616,0.2744,0.2358,0,30,3.7395,21.834,3.7512,4.005
301.04,1.0616,0.2744,0.2358,0,30,3.7395,21.834,3.7512,4.005
306.04,1.0616,0.2744,0.2358,0,30,3.7395,21.834,3.7512,4.005
311.04,1.0616,0.2744,0.2358,0,30,3.7395,21.834,3.7512,4.005
316.04,1.0616,0.2744,0.2358,0,30,3.7395,21.834,3.7512,4.005
321.04,1.0616,0.2744,0.2358,0,30,3.7395,21.834,3.7512,4.005
326.04,1.0616,0.2744,0.2358,0,30,3.7395,21.834,3.7512,4.005
331.04,1.0616,0.2744,0.2358,0,30,3.7395,21.834,3.7512,4.005
336.04,1.0616,0.2744,0.2358,0,30,3.7395,21.834,3.7512,4.005
341.04,1.0616,0.2744,0.2358,0,30,3.7395,21.834,3.7512,4.005
346.04,1.0616,0.2744,0.2358,0,30,3.7395,21.834,3.7512,4.005
351.04,1.0616,0.2744,0.2358,0,30,3.7395,21.834,3.7512,4.005
356.04,1.0616,0.2744,0.2358,0,30,3.7395,21.834,3.7512,4.005
361.04,1.0616,0.2744,0.2358,0,30,3.7395,21.834,3.7512,4.005
366.04,1.0616,0.2744,0.2358,0,30,3.7395,21.834,3.7512,4.005
371.04,1.0616,0.2744,0.2358,0,30,3.7395,21.834,3.7512,4.005
376.04,1.0616,0.2744,0.2358,0,30,3.7395,21.834,3.7512,4.005
381.04,1.0616,0.2744,0.2358,0,30,3.7395,21.834,3.7512,4.005
386.04,1.0616,0.2744,0.2358,0,30,3.7395,21.834,3.7512,4.005
391.04,1.0616,0.2744,0.2358,0,30,3.7395,21.834,3.7512,4.005
396.04,1.0616,0.2744,0.2358,0,30,3.7395,21.834,3.7512,4.005
401.04,1.0616,0.2744,0.2358,0,30,3.7395,21.834,3.7512,4.005
406.04,1.0616,0.2744,0.2358,0,30,3.7395,21.834,3.7512,4.005
411.04,1.0616,0.2744,0.2358,0,30,3.7395,21.834,3.7512,4.005
