time_s,Hmax,Hs,Hs_zerocross,Tm01,Tm02,Tp,f_peak,n_samples,source
0.001801,0.9436,0.7445,0.5561,2.5599,2.4649,2.4,0.4167,1143,nan
10.003,0.9436,0.7445,0.5415,2.5599,2.4649,2.4,0.4167,1193,nan
19.996,0.8995,0.6099,0.5322,2.624,2.5005,2.4,0.4167,1200,nan
29.999,0.9006,0.5986,0.5175,2.6395,2.5046,2.4,0.4167,1200,nan
40.003,0.8996,0.6321,0.509,2.6515,2.5131,2.4,0.4167,1200,nan
49.996,0.919,0.649,0.519,2.6213,2.4996,2.3077,0.4333,1200,nan
60,0.9056,0.6199,0.4762,2.5838,2.4824,2.3077,0.4333,1200,nan
70,0.9027,0.5617,0.4624,2.5813,2.4906,2.4,0.4167,1200,nan
80.004,0.8943,0.4881,0.4718,2.6038,2.515,2.4,0.4167,1200,nan
90.003,0.9102,0.4245,0.453,2.6657,2.5641,2.4,0.4167,1200,nan
99.999,0.8242,0.3927,0.4109,2.7767,2.6421,2.4,0.4167,1200,nan
109.99,0.6856,0.3934,0.3775,2.8875,2.7169,2.4,0.4167,1200,nan
120,0.4648,0.4021,0.339,2.9141,2.728,2.3077,0.4333,1200,nan
130,0.447,0.4229,0.3319,2.948,2.7489,2.3077,0.4333,1200,nan
139.99,0.4529,0.4281,0.3252,2.904,2.7236,2.069,0.4833,1200,nan
149.99,0.6171,0.4189,0.3452,2.8929,2.7242,2,0.5,1200,nan
160,0.4621,0.4071,0.3237,2.9211,2.7484,2,0.5,1200,nan
169.99,0.5335,0.4252,0.3546,3.0152,2.8144,2.6087,0.3833,1200,nan
