time_s,Hmax,Hs,Hs_std,n_bad_dropped,n_frames,peak_period,peak_wavelength,peak_wavelength_std,plane_tilt_deg
0,0.9701,0.183,0.2022,0,30,3.6911,21.274,6.9642,3.2543
9.9957,0.9701,0.218,0.1845,0,30,3.8555,23.209,7.0632,3.2109
19.994,1.0956,0.363,0.1932,0,30,3.8482,23.121,6.7355,3.1499
29.995,1.0956,0.2882,0.1907,2,30,3.7601,22.075,6.311,2.787
39.996,1.0956,0.2642,0.1865,2,30,3.6631,20.952,5.6245,2.8735
49.995,1.0477,0.2205,0.1875,0,30,3.6239,20.504,5.7144,3.5575
59.997,1.0477,0.2778,0.2257,0,30,3.5352,19.524,7.0196,4.0824
70.006,1.0339,0.274,0.2501,0,30,3.3349,17.375,7.3358,4.002
79.999,1.0339,0.3077,0.2452,0,30,3.2008,16,7.3105,5.0106
89.998,1.1058,0.3123,0.251,0,30,3.2008,16,6.4616,5.0022
100.07,1.1058,0.3123,0.2824,0,30,3.3519,17.558,6.4963,5.4996
109.99,1.1058,0.2513,0.2862,1,30,3.7602,22.076,7.0385,5.3781
119.99,1.0818,0.2573,0.2823,0,30,3.821,22.796,6.9173,4.031
130,0.9639,0.2704,0.2632,0,30,3.8538,23.189,7.1514,3.9711
139.99,0.9639,0.2704,0.2632,0,30,3.8538,23.189,7.1514,3.9711
149.99,0.9639,0.2704,0.2632,0,30,3.8538,23.189,7.1514,3.9711
159.99,0.9639,0.2704,0.2632,0,30,3.8538,23.189,7.1514,3.9711
169.99,0.9639,0.3123,0.2389,1,30,3.8538,23.189,6.8064,3.8148
